system:time_start,Sprawl_Zone_Core,Control_Zone
"Jan 19, 2015",4.803,3.794
"Feb 4, 2015",4.343,4.423
"Feb 20, 2015",,
"Mar 1, 2015",,
"Mar 8, 2015",,
"Mar 17, 2015",,
"Mar 24, 2015",,
"Apr 2, 2015",9.335,5.288
"Apr 9, 2015",20.506,21.921
"Apr 18, 2015",18.898,20.746
"Apr 25, 2015",,
"May 4, 2015",,
"May 11, 2015",20.075,
"May 27, 2015",25.97,27.142
"Jun 5, 2015",,
"Jun 12, 2015",,
"Jun 21, 2015",,
"Jul 7, 2015",,
"Jul 23, 2015",25.271,27.62
"Jul 30, 2015",,
"Aug 8, 2015",26.67,34.371
"Aug 15, 2015",24.802,19.684
"Sep 9, 2015",,
"Sep 25, 2015",22.281,
"Oct 2, 2015",19.701,20.653
"Oct 11, 2015",,
"Oct 18, 2015",,
"Oct 27, 2015",-6.061,-11.378
"Nov 12, 2015",,
"Nov 28, 2015",,
"Jan 6, 2016",,
"Jan 15, 2016",4.523,3.457
"Feb 7, 2016",8.148,
"Feb 16, 2016",6.742,6.475
"Feb 23, 2016",,8.854
"Mar 3, 2016",,
"Apr 4, 2016",,
"Apr 11, 2016",,
"Apr 20, 2016",16.716,19.066
"Apr 27, 2016",,
"May 6, 2016",18.822,17.173
"May 13, 2016",21.447,24.667
"May 22, 2016",,21.513
"May 29, 2016",,
"Jun 7, 2016",,
"Jun 23, 2016",,
"Jun 30, 2016",,
"Jul 9, 2016",,
"Jul 16, 2016",,
"Jul 25, 2016",24.62,24.09
"Aug 1, 2016",,
"Aug 10, 2016",,
"Aug 17, 2016",28.002,30.503
"Aug 26, 2016",22.866,30.15
"Sep 11, 2016",24.129,23.838
"Sep 18, 2016",,
"Sep 27, 2016",,
"Oct 4, 2016",,
"Oct 13, 2016",13.463,14.449
"Oct 20, 2016",14.872,
"Oct 29, 2016",,
"Nov 5, 2016",,
"Nov 30, 2016",3.47,0.747
"Dec 7, 2016",,
"Jan 17, 2017",4.677,4.222
"Jan 24, 2017",3.341,2.981
"Feb 2, 2017",,
"Feb 18, 2017",,
"Mar 6, 2017",8.673,
"Mar 13, 2017",,
"Mar 22, 2017",,
"Apr 7, 2017",20.351,22.054
"Apr 23, 2017",,
"Apr 30, 2017",,
"May 16, 2017",,
"May 25, 2017",30.205,
"Jun 1, 2017",28.884,31.457
"Jun 10, 2017",29.016,32.778
"Jun 17, 2017",33.203,37.165
"Jun 26, 2017",33.547,36.74
"Jul 3, 2017",,
"Jul 12, 2017",,
"Jul 28, 2017",,
"Aug 4, 2017",,
"Aug 13, 2017",27.021,28.129
"Aug 20, 2017",,
"Aug 29, 2017",27.309,29.59
"Sep 14, 2017",,
"Sep 30, 2017",17.664,20.19
"Oct 16, 2017",19.93,21.426
"Nov 1, 2017",,
"Nov 8, 2017",,
"Nov 17, 2017",8.567,7.703
"Nov 24, 2017",,
"Feb 5, 2018",3.694,
"Feb 12, 2018",5.953,5.6
"Feb 21, 2018",,
"Feb 28, 2018",1.046,-0.763
"Mar 9, 2018",,
"Mar 16, 2018",,
"Apr 17, 2018",14.492,14.168
"Apr 26, 2018",16.784,
"May 3, 2018",17.767,16.836
"May 19, 2018",26.504,26.844
"May 28, 2018",28.757,30.255
"Jun 13, 2018",28.697,28.715
"Jun 20, 2018",,
"Jun 29, 2018",33.2,34.473
"Jul 6, 2018",32.588,30.946
"Jul 15, 2018",37.939,40.148
"Jul 22, 2018",,
"Jul 31, 2018",30.23,
"Aug 7, 2018",37.405,38.923
"Aug 23, 2018",,
"Sep 1, 2018",27.188,28.037
"Sep 17, 2018",27.413,28.696
"Sep 24, 2018",18.98,18.762
"Oct 3, 2018",,
"Oct 10, 2018",21.334,23.304
"Oct 19, 2018",15.837,
"Oct 26, 2018",,11.349
"Nov 4, 2018",,
