system:time_start,Sprawl_Zone_Core_mean,Sprawl_Zone_Core_std,Control_Zone_mean,Control_Zone_std
"Jan 7, 2018",0.076,0.058,0.284,0.165
"Jan 17, 2018",0.636,0.057,0.772,0.071
"Jan 17, 2018",0.636,0.057,0.772,0.071
"Jan 19, 2018",0.654,0.063,0.788,0.072
"Jan 19, 2018",0.654,0.063,0.789,0.072
"Jan 22, 2018",,,,
"Feb 1, 2018",0.697,0.068,0.849,0.07
"Feb 6, 2018",0.588,0.086,0.456,0.214
"Feb 11, 2018",0.537,0.136,0.747,0.108
"Feb 11, 2018",0.53,0.132,0.742,0.107
"Feb 16, 2018",0.652,0.065,0.779,0.067
"Apr 19, 2018",0.842,0.082,0.843,0.059
"Apr 19, 2018",0.844,0.081,0.845,0.058
"Apr 22, 2018",0.854,0.069,0.853,0.043
"Apr 22, 2018",0.864,0.068,0.865,0.042
"May 4, 2018",0.865,0.088,0.866,0.035
"May 7, 2018",0.878,0.091,0.872,0.037
"May 7, 2018",0.885,0.092,0.879,0.037
"May 14, 2018",0.653,0.107,0.851,0.027
"May 14, 2018",0.661,0.111,0.872,0.027
"May 17, 2018",0.58,0.122,0.874,0.027
"May 17, 2018",0.581,0.123,0.878,0.027
"May 19, 2018",0.535,0.126,0.84,0.028
"May 19, 2018",0.536,0.125,0.837,0.028
"May 22, 2018",0.509,0.138,0.844,0.029
"Jun 3, 2018",0.641,0.101,0.811,0.025
"Jun 6, 2018",,,,
"Jun 8, 2018",,,,
"Jun 11, 2018",0.761,0.087,0.808,0.039
"Jun 18, 2018",0.739,0.087,0.737,0.054
"Jun 18, 2018",0.738,0.087,0.736,0.054
"Jun 21, 2018",0.747,0.097,0.698,0.065
"Jun 26, 2018",0.473,0.116,0.608,0.101
"Jun 26, 2018",0.477,0.12,0.615,0.106
"Jun 28, 2018",0.422,0.101,0.557,0.096
"Jun 28, 2018",0.431,0.111,0.576,0.109
"Jul 3, 2018",0.37,0.096,0.476,0.112
"Jul 3, 2018",0.373,0.101,0.483,0.12
"Jul 8, 2018",0.35,0.089,0.429,0.119
"Jul 11, 2018",0.336,0.094,0.407,0.122
"Jul 13, 2018",0.308,0.068,0.405,0.132
"Jul 28, 2018",0.334,0.075,0.364,0.142
"Aug 2, 2018",0.312,0.094,0.329,0.18
"Aug 2, 2018",0.313,0.095,0.33,0.181
"Aug 7, 2018",0.307,0.067,0.312,0.135
"Aug 7, 2018",0.308,0.066,0.313,0.134
"Sep 1, 2018",0.697,0.092,0.502,0.12
"Sep 1, 2018",0.701,0.093,0.506,0.121
"Sep 6, 2018",0.734,0.089,0.518,0.117
"Sep 24, 2018",0.754,0.149,0.583,0.115
"Sep 24, 2018",0.756,0.149,0.585,0.115
"Sep 26, 2018",0.74,0.154,0.558,0.116
"Sep 26, 2018",0.743,0.154,0.564,0.117
"Sep 29, 2018",0.734,0.14,,
"Oct 1, 2018",0.741,0.141,0.257,0.073
"Oct 1, 2018",0.748,0.143,0.263,0.077
"Oct 9, 2018",0.761,0.148,0.591,0.112
"Oct 9, 2018",0.764,0.148,0.595,0.113
"Oct 16, 2018",0.464,0.163,0.613,0.061
"Oct 16, 2018",0.476,0.18,0.627,0.063
"Oct 19, 2018",0.781,0.127,0.679,0.071
"Oct 19, 2018",0.788,0.127,0.69,0.074
"Oct 21, 2018",0.774,0.135,0.672,0.069
"Oct 21, 2018",0.782,0.135,0.685,0.072
"Oct 21, 2018",0.78,0.136,0.69,0.071
"Oct 21, 2018",0.783,0.136,0.695,0.073
"Oct 24, 2018",0.755,0.128,0.653,0.057
"Oct 29, 2018",0.796,0.128,0.75,0.061
"Oct 29, 2018",0.799,0.127,0.755,0.062
"Oct 31, 2018",0.766,0.125,0.706,0.051
"Nov 10, 2018",0.759,0.086,0.742,0.041
"Nov 13, 2018",0.771,0.088,0.763,0.056
"Nov 13, 2018",0.775,0.088,0.77,0.057
"Nov 18, 2018",0.775,0.087,0.759,0.056
"Nov 18, 2018",0.776,0.087,0.76,0.056
"Nov 30, 2018",0.732,0.075,0.72,0.063
"Nov 30, 2018",0.733,0.075,0.72,0.063
"Dec 20, 2018",,,0.301,0.065
"Jan 17, 2019",0.781,0.097,0.805,0.068
"Jan 17, 2019",0.793,0.078,0.817,0.073
"Jan 22, 2019",0.768,0.08,0.781,0.068
"Feb 23, 2019",0.699,0.084,0.734,0.066
"Feb 23, 2019",0.685,0.086,0.717,0.069
"Feb 26, 2019",0.734,0.085,0.752,0.071
"Feb 26, 2019",0.734,0.084,0.753,0.07
"Mar 5, 2019",0.668,0.128,,
"Mar 25, 2019",0.681,0.136,,
"Mar 30, 2019",0.819,0.091,0.799,0.069
"Mar 30, 2019",0.818,0.09,0.797,0.069
"Apr 19, 2019",0.725,0.082,0.775,0.052
"May 14, 2019",0.755,0.106,0.781,0.031
"Jun 28, 2019",,,,
"Jul 16, 2019",0.533,0.086,0.573,0.109
"Jul 23, 2019",0.554,0.067,0.555,0.109
"Jul 23, 2019",0.557,0.064,0.549,0.105
"Aug 20, 2019",,,0.439,0.082
"Aug 22, 2019",0.639,0.08,0.592,0.076
"Aug 22, 2019",0.641,0.068,0.592,0.077
"Aug 25, 2019",0.62,0.082,0.553,0.082
"Aug 25, 2019",0.614,0.08,0.545,0.08
"Aug 27, 2019",0.575,0.073,0.506,0.091
"Aug 27, 2019",0.582,0.075,0.512,0.094
"Sep 4, 2019",0.605,0.082,0.534,0.116
"Sep 4, 2019",0.607,0.082,0.537,0.117
"Sep 14, 2019",0.559,0.091,0.581,0.13
"Sep 14, 2019",0.56,0.093,0.522,0.128
"Sep 19, 2019",0.525,0.083,0.491,0.133
"Sep 19, 2019",0.524,0.082,0.49,0.131
"Sep 21, 2019",0.516,0.081,0.496,0.137
"Sep 21, 2019",0.512,0.079,0.491,0.133
"Nov 10, 2019",0.796,0.087,0.804,0.056
"Nov 13, 2019",0.806,0.073,0.826,0.049
"Nov 18, 2019",0.776,0.109,0.781,0.072
"Nov 18, 2019",0.778,0.109,0.783,0.072
"Nov 30, 2019",0.804,0.076,0.806,0.071
"Dec 3, 2019",,,,
"Dec 8, 2019",0.773,0.065,0.752,0.08
"Dec 8, 2019",0.771,0.076,0.752,0.08
"Dec 23, 2019",0.761,0.065,0.763,0.072
"Dec 23, 2019",0.761,0.066,0.759,0.076
"Dec 25, 2019",0.766,0.086,0.775,0.081
"Dec 25, 2019",0.767,0.087,0.776,0.081
"Dec 30, 2019",0.705,0.086,0.74,0.072
"Dec 30, 2019",0.706,0.087,0.735,0.077
"Jan 9, 2020",0.725,0.082,0.734,0.078
"Jan 19, 2020",0.773,0.083,0.791,0.073
"Jan 19, 2020",0.747,0.087,0.752,0.08
"Jan 29, 2020",0.756,0.081,0.797,0.072
"Jan 29, 2020",0.723,0.084,0.748,0.078
"Feb 1, 2020",,,0.437,0.199
"Feb 6, 2020",,,,
"Feb 6, 2020",,,,
"Mar 12, 2020",0.819,0.085,0.735,0.108
"Mar 24, 2020",0.787,0.088,0.775,0.077
"Mar 24, 2020",0.785,0.089,0.774,0.077
"Mar 27, 2020",0.794,0.095,0.755,0.08
